x,y,yaw,v
-5.86168381,7.66471937,-2.995081316042526,2.999999299022186
-6.08019775,7.63663371,-2.9950812903036104,1.9884617341799642
-6.29803138,7.6003281,-2.9389106176210866,2.875947172181156
-6.51249427,7.54779513,-2.9341484893235843,2.313393953575054
-6.72997227,7.50941666,-2.9669204611393405,2.9999993942229124
-6.94745028,7.47103819,-2.966920438842864,2.6848345239884943
-7.16492828,7.43265971,-2.9798822491887407,2.0855033356634682
-7.38290702,7.4,-3.028207731752999,2.009320820117724
-7.60098736,7.38300421,-2.974283351985902,1.948862839327161
-7.81420813,7.32715837,-2.914842480990719,2.369954300206599
-8.03075797,7.28384841,-2.944197111500967,2.999999517446589
-8.24730782,7.24053844,-2.944197093739912,2.9999998793616354
-8.46385767,7.19722847,-2.944197089299648,2.9999999999999396
-8.68040751,7.1539185,-2.9441970892996503,2.138310926880313
-8.89695736,7.11060853,-2.8997007491174913,2.999999852155461
-9.10846379,7.04830724,-2.899700743684418,2.609683224016553
-9.32501363,7.00499727,-2.9162155683034907,1.575914871239885
-9.5372433,6.95,-3.015274306490632,1.8482179808682053
-9.75808168,6.95,-3.0840859071381677,1.5787605942073168
-9.97641652,6.9247167,-2.9851539608171884,2.2542933257123225
-10.19296637,6.88140673,-2.948627956494771,2.6177030987536316
-10.40986905,6.84002183,-2.964752221938076,2.7127594645530557
-10.62770268,6.80371622,-2.976443957564385,2.788129258204687
-10.84553632,6.76741061,-2.96805317148691,2.6176898536919024
-11.06270182,6.72745964,-2.9519286871583854,2.8870023739952955
-11.27925166,6.68414967,-2.9476068667068516,2.617711487595033
-11.49607304,6.64232116,-2.9637309998887518,2.6902601418768026
-11.71390667,6.60601555,-2.976443979897323,2.9999999999999396
-11.93174031,6.56970995,-2.976443979897321,2.965402254229648
-12.14957394,6.53340434,-2.975155704431771,2.6177358318350095
-12.36730499,6.496539,-2.959031966279448,2.644685145734367
-12.58385484,6.45322903,-2.944197089299648,2.999999999999988
-12.80040468,6.40991906,-2.9441970892996476,1.9353467302515348
-13.01695453,6.36660909,-3.004939772246534,2.154535558065185
-13.23614828,6.35,-3.0480701305380418,2.19350172823771
-13.45506561,6.32551596,-3.0075738673766526,2.4906154864993586
-13.67320158,6.29107343,-2.9849907648372875,2.9999993923901767
-13.89133756,6.25663091,-2.984990787201221,2.012694014653618
-14.10947353,6.22218839,-2.9308258099488906,1.5063348598642599
-14.32027602,6.16486199,-2.82251540777659,2.263655025151206
-14.52433052,6.0851339,-2.8581472449905374,1.6267536014675634
-14.7409759,6.04231702,-2.951358084900501,2.872860939602583
-14.9580318,6.00161904,-2.9562447091574007,2.9999993953985995
-15.1750877,5.96092106,-2.9562446869041974,0.9758361549099208
-15.3921436,5.92022307,3.0978995756747474,0.6863158334088522
-15.57856129,5.97856129,2.7686499894318115,0.8786757941005039
-15.77689289,6.07075715,3.032661917659589,0.5
-15.96823402,6.02117732,-2.711471806183888,1.2346493354325387
-16.15198266,5.89867823,-2.553590062601187,2.9999991469580882
-16.3357313,5.77617914,-2.5535900312037794,2.9999999999998797
-16.51947993,5.65368004,-2.553590031203784,0.798632061595309
-16.70322857,5.53118095,-2.857952046606479,0.5634722855564478
-16.90971079,5.5399277,2.9784048607018185,1.1941987219990824
-17.12119533,5.6,-3.1385573042643053,1.020476827066493
-17.32942396,5.53865372,-2.928013852004331,1.9121501975677506
-17.5480428,5.50742246,-2.990832919568443,2.6526557332524145
-17.76606305,5.47232283,-2.97637510891866,2.748232638162744
-17.98368201,5.43478509,-2.9662597947130593,2.8820084991080823
-18.20095824,5.39528032,-2.961739153797314,3.0
-18.41823448,5.35577555,-2.961739153797314,2.999999999999952
-18.63551071,5.31627078,-2.961739153797316,2.925078151937279
-18.85278695,5.27676601,-2.958910918293214,2.8140139121769687
-19.06982895,5.23603421,-2.9516132491830502,2.9250726284190907
-19.28650083,5.19336349,-2.9544416377152394,2.8140234327936007
-19.50377706,5.15385872,-2.961739153797314,2.999999889960818
-19.7210533,5.11435395,-2.96173915784746,2.999999284745784
-19.93832954,5.07484918,-2.961739131521523,2.9751133895261397
-20.15560577,5.0353444,-2.960815482925534,2.7792306051384945
-20.37280551,4.9954389,-2.9520444135883865,2.800941350199573
-20.58935536,4.95212893,-2.944197089299649,2.687486565102997
-20.8059052,4.90881896,-2.9570371457298106,2.7654220680430854
-21.02347743,4.8710871,-2.966402704130558,2.687424808234771
-21.24077293,4.83184541,-2.9535614403920247,2.7654686831745687
-21.45732278,4.78853544,-2.9441971115009706,2.9999999999999396
-21.67387262,4.74522548,-2.9441971115009684,2.6325920644640224
-21.89042247,4.70191551,-2.9596073558705562,2.6177434997474314
-22.10819933,4.66530011,-2.9757309853592475,2.932711385500367
-22.32603296,4.62899451,-2.973197509304451,2.558913226169476
-22.54360807,4.59127839,-2.954165847298805,1.0242202683776827
-22.75982749,4.54672417,-2.741234436565302,0.5
-22.92311106,4.43066683,-2.0902916718540725,0.5769280146086437
