t_s,mode,x,y,yaw,speed,cmd_speed,cmd_steer,collisions
16.282,rrt,-4.0375,-0.2855,-0.0666,0.8570,1.0035,0.0971,0
16.332,rrt,-4.0200,-0.3025,-0.0496,0.6601,0.3500,0.4200,0
16.382,rrt,-3.9761,-0.2928,-0.0809,0.6386,0.3500,-0.4200,0
16.423,rrt,-3.9453,-0.2936,-0.0702,0.5198,0.3500,0.4200,0
16.464,rrt,-3.9225,-0.2931,-0.0587,0.4095,0.3500,-0.4200,0
16.528,rrt,-3.9069,-0.2928,-0.0513,0.3740,0.5427,0.3248,0
16.604,rrt,-3.9057,-0.2982,0.0022,0.3592,0.9230,0.1369,0
16.682,rrt,-3.8949,-0.2968,0.0099,0.3733,0.9771,0.1102,0
16.743,rrt,-3.8577,-0.2917,-0.0330,0.4457,0.6336,-0.2799,0
16.816,rrt,-3.8285,-0.2869,0.0536,0.6113,0.8425,0.1767,0
16.893,rrt,-3.7841,-0.2821,0.0655,0.6380,0.5763,-0.3082,0
16.908,rrt,-3.7443,-0.2890,-0.0068,0.6738,1.1242,-0.0374,0
16.970,rrt,-3.7101,-0.2870,0.0070,0.6936,0.6910,-0.2515,0
17.019,rrt,-3.6949,-0.2710,0.0918,0.7711,0.3500,0.4200,0
17.070,rrt,-3.6799,-0.2694,0.0919,0.7438,1.0828,0.0579,0
17.123,rrt,-3.6383,-0.2659,0.0897,0.5121,0.8557,-0.1701,0
17.179,rrt,-3.6276,-0.2647,0.0914,0.5649,1.0349,-0.0816,0
17.279,rrt,-3.5968,-0.2609,0.0964,0.6558,0.7113,-0.2415,0
17.333,rrt,-3.5698,-0.2585,0.0941,0.7077,1.0417,0.0782,0
17.409,rrt,-3.5404,-0.2567,0.0882,0.7654,0.9138,-0.1414,0
17.457,rrt,-3.4570,-0.2913,-0.0259,0.7758,1.1711,0.0143,0
17.535,rrt,-3.4332,-0.2931,-0.0315,0.8130,0.9459,-0.1256,0
17.600,rrt,-3.4310,-0.2533,0.0611,0.8424,1.1237,-0.0377,0
17.666,rrt,-3.3873,-0.2511,0.0598,0.8928,1.1118,0.0436,0
17.742,rrt,-3.3051,-0.2496,0.0412,0.9498,0.8401,-0.1778,0
17.765,rrt,-3.2164,-0.3080,-0.0633,0.9904,1.0058,0.0959,0
17.850,rrt,-3.1474,-0.3119,-0.0591,0.9314,0.5607,-0.3159,0
17.899,rrt,-3.0910,-0.3144,-0.0529,0.9495,0.8184,0.1886,0
17.958,rrt,-3.0882,-0.2352,0.0695,0.7358,1.0088,-0.0945,0
17.996,rrt,-2.9922,-0.3148,-0.0296,0.7492,0.4660,-0.3627,0
18.058,rrt,-3.0231,-0.2298,0.0748,0.7656,1.0790,0.0598,0
18.096,rrt,-2.9964,-0.2280,0.0719,0.5945,0.9446,0.1262,0
18.165,rrt,-2.9673,-0.2280,0.0596,0.6213,0.7711,-0.2119,0
18.201,rrt,-2.8768,-0.3153,-0.0213,0.6789,0.8969,-0.1498,0
18.255,rrt,-2.9204,-0.2256,0.0604,0.7147,0.3500,0.4200,0
18.301,rrt,-2.8045,-0.3138,-0.0068,0.7545,1.1866,0.0066,0
18.358,rrt,-2.7820,-0.3147,-0.0130,0.6875,0.9379,0.1295,0
18.422,rrt,-2.8395,-0.2192,0.0651,0.4905,1.0342,0.0819,0
18.482,rrt,-2.7957,-0.2148,0.0736,0.6279,0.3500,0.4200,0
18.536,rrt,-2.7626,-0.2104,0.0847,0.7078,0.9958,-0.1009,0
18.596,rrt,-2.6491,-0.3128,0.0086,0.5634,0.7053,-0.2444,0
18.638,rrt,-2.6284,-0.3103,0.0225,0.5348,1.1330,0.0331,0
18.706,rrt,-2.5932,-0.3071,0.0339,0.6143,1.1968,-0.0016,0
18.749,rrt,-2.5675,-0.3062,0.0338,0.6886,0.8732,-0.1615,0
18.799,rrt,-2.5884,-0.1868,0.1126,0.8109,0.7223,-0.2361,0
18.850,rrt,-2.5551,-0.1831,0.1119,0.8491,1.0069,-0.0954,0
18.881,rrt,-2.4558,-0.3024,0.0281,0.8031,0.8895,-0.1534,0
18.957,rrt,-2.4903,-0.1805,0.0828,0.7748,0.8639,0.1661,0
19.016,rrt,-2.4422,-0.1809,0.0599,0.8132,0.3500,0.4200,0
19.078,rrt,-2.4011,-0.1820,0.0407,0.8267,0.9151,-0.1408,0
19.114,rrt,-2.3574,-0.1812,0.0389,0.5567,1.1585,-0.0205,0
19.178,rrt,-2.2718,-0.3128,-0.0157,0.5237,0.3500,-0.4200,0
19.221,rrt,-2.2491,-0.3117,-0.0084,0.6168,0.7912,0.2020,0
19.281,rrt,-2.2229,-0.3117,-0.0084,0.6259,0.3500,0.4200,0
19.336,rrt,-2.2690,-0.1760,0.0429,0.5142,0.7841,0.2055,0
19.386,rrt,-2.2380,-0.1749,0.0426,0.4571,0.6565,-0.2686,0
19.427,rrt,-2.2207,-0.1726,0.0517,0.4517,0.3500,0.4200,0
19.481,rrt,-2.1914,-0.1678,0.0689,0.5193,0.4335,-0.3787,0
19.533,rrt,-2.1719,-0.1652,0.0760,0.4424,1.0563,0.0710,0
19.585,rrt,-2.0843,-0.3039,0.0347,0.4258,0.6122,-0.2904,0
19.633,rrt,-2.1367,-0.1601,0.0882,0.5128,1.1292,0.0350,0
19.685,rrt,-2.1148,-0.1577,0.0908,0.5679,0.5450,0.3236,0
19.740,rrt,-2.0207,-0.2997,0.0435,0.6232,0.3500,0.4200,0
19.792,rrt,-1.9814,-0.2969,0.0508,0.6220,0.6426,-0.2754,0
19.853,rrt,-1.9536,-0.2924,0.0698,0.4759,0.3500,0.4200,0
19.912,rrt,-1.9930,-0.1385,0.1354,0.4673,0.3500,-0.4200,0
19.963,rrt,-1.9018,-0.2784,0.1218,0.4127,0.7205,-0.2369,0
20.028,rrt,-1.8831,-0.2728,0.1395,0.3718,1.0829,-0.0579,0
20.098,rrt,-1.9314,-0.1192,0.1880,0.4257,0.3500,-0.4200,0
20.153,rrt,-1.8401,-0.2654,0.1463,0.5427,0.3500,-0.4200,0
20.198,rrt,-1.8105,-0.2619,0.1417,0.5834,0.3500,-0.4200,0
20.253,rrt,-1.7997,-0.2608,0.1387,0.5025,0.3500,-0.4200,0
20.311,rrt,-1.8492,-0.1090,0.1587,0.3830,0.7733,-0.2109,0
20.397,rrt,-1.8233,-0.1111,0.1254,0.3509,0.6651,-0.2643,0
20.459,rrt,-1.8005,-0.1131,0.0988,0.4258,0.6503,-0.2716,0
20.547,rrt,-1.7773,-0.1143,0.0799,0.4859,0.3500,-0.4200,0
20.594,rrt,-1.7520,-0.1161,0.0586,0.5202,1.1617,-0.0189,0
20.724,rrt,-1.6474,-0.2734,0.0018,0.4471,0.9417,-0.1276,0
20.801,rrt,-1.6605,-0.1287,-0.0232,0.6905,0.8434,0.1762,0
20.908,rrt,-1.5921,-0.1343,-0.0426,0.8025,0.3500,0.4200,0
20.979,rrt,-1.4941,-0.2931,-0.0695,0.7904,0.5448,0.3237,0
21.041,rrt,-1.5276,-0.1394,-0.0514,0.7292,0.3857,0.4024,0
21.079,rrt,-1.4310,-0.2924,-0.0363,0.5006,0.4189,-0.3859,0
21.102,rrt,-1.4058,-0.2889,-0.0109,0.4815,1.0809,0.0589,0
21.187,rrt,-1.3774,-0.2836,0.0190,0.5331,0.6822,-0.2558,0
21.230,rrt,-1.3774,-0.2836,0.0190,0.5331,0.8861,0.1551,0
21.297,rrt,-1.4045,-0.1265,0.0309,0.6349,0.9413,0.1278,0
21.356,rrt,-1.3649,-0.1247,0.0342,0.6904,0.9218,0.1375,0
21.434,rrt,-1.2657,-0.2744,0.0487,0.7366,0.8510,0.1724,0
21.480,rrt,-1.2834,-0.1159,0.0644,0.7880,0.9320,-0.1324,0
21.546,rrt,-1.2439,-0.1100,0.0833,0.8030,0.7614,-0.2167,0
21.591,rrt,-1.2199,-0.1060,0.0950,0.8177,1.1469,0.0263,0
21.634,rrt,-1.0992,-0.2510,0.1060,0.8131,0.9451,-0.1260,0
21.689,rrt,-1.1715,-0.1000,0.0988,0.7906,0.3500,-0.4200,0
21.742,rrt,-1.1129,-0.0953,0.0938,0.8662,1.0088,0.0945,0
21.775,rrt,-0.9784,-0.2452,0.0694,0.5764,0.7870,-0.2041,0
21.839,rrt,-0.9617,-0.2460,0.0570,0.5757,1.0187,-0.0896,0
